model	branch_length	nsites	sample	rule	replicates	refined_fraction	legacy_fraction	refined_minus_legacy	paired_bootstrap_ci_low	paired_bootstrap_ci_high	refined_only	legacy_only	agreement	mean_delta_z	mean_delta_z_ci_low	mean_delta_z_ci_high	median_delta_z	delta_z_q10	delta_z_q90	mean_delta_decision_margin	mean_delta_decision_margin_ci_low	mean_delta_decision_margin_ci_high	median_delta_decision_margin
+I+G4	2.0	5000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-9.359576624101884	-9.361005325722871	-9.358147922480896	-9.360704174994186	-9.489179349019095	-9.226698318840409	-9.359576624101887	-9.361005325722875	-9.3581479224809	-9.360704174994188
+I+G4	2.0	5000	null_heldout	calibrated	10000	0.0458	0.045	0.0008000000000000021	-0.0008	0.002302500000000009	36	28	0.9936	-12.003131925923281	-12.005166269166626	-12.001097582679936	-12.00190054242217	-12.138095677705575	-11.872009892283488	-0.13798756738603762	-0.14002191062938185	-0.1359532241426934	-0.13675618388492605
+I+G4	2.0	5000	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-9.359576624101884	-9.361005325722871	-9.358147922480896	-9.360704174994186	-9.489179349019095	-9.226698318840409	2.50556773443536	2.5041390328143733	2.506996436056347	2.5044401835430588
+I+G4	2.0	10000	null_heldout	nominal	10000	0.0501	1.0	-0.9499	-0.9541	-0.9456	0	9499	0.0501	-16.977312611549355	-16.979358142946165	-16.975267080152545	-16.978419009378484	-17.111917892807423	-16.843238836211526	-16.977312611549355	-16.979358142946165	-16.975267080152545	-16.978419009378477
+I+G4	2.0	10000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-13.236895334137392	-13.238321204444707	-13.235469463830077	-13.237705564147902	-13.368053811487977	-13.105139702153707	-13.236895334137394	-13.23832120444471	-13.235469463830078	-13.237705564147904
+I+G4	2.0	10000	null_heldout	calibrated	10000	0.0508	0.049	0.001799999999999996	0.0004	0.0033	37	19	0.9944	-16.977312611549355	-16.979358142946165	-16.975267080152545	-16.978419009378484	-17.111917892807423	-16.843238836211526	-0.12274069248946166	-0.12478622388627282	-0.12069516109265051	-0.12384709031858954
+I+G4	2.0	10000	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-13.236895334137392	-13.238321204444707	-13.235469463830077	-13.237705564147902	-13.368053811487977	-13.105139702153707	3.617676584922499	3.616250714615184	3.6191024552298146	3.6168663549119877
+I+G4	3.0	100	null_heldout	nominal	10000	0.0431	0.5134	-0.47029999999999994	-0.4803	-0.4601975	0	4703	0.5297	-1.6937710902974628	-1.6958644333709223	-1.6916777472240032	-1.6885331379076851	-1.831789774656257	-1.5616031938165686	-1.6937710902974628	-1.6958644333709223	-1.6916777472240032	-1.6885331379076853
+I+G4	3.0	100	alternative	nominal	20000	0.99695	1.0	-0.003049999999999997	-0.00385	-0.0023	0	61	0.99695	-1.3747074778139825	-1.3761021182622932	-1.3733128373656718	-1.3797822277669893	-1.4987942094503086	-1.2433350458303714	-1.3747074778139825	-1.3761021182622932	-1.3733128373656718	-1.3797822277669896
+I+G4	3.0	100	null_heldout	calibrated	10000	0.048	0.0486	-0.0005999999999999964	-0.002	0.0009	26	32	0.9942	-1.6937710902974628	-1.6958644333709223	-1.6916777472240032	-1.6885331379076851	-1.831789774656257	-1.5616031938165686	-0.12406200906031668	-0.12615535213377627	-0.1219686659868571	-0.11882405667053941
+I+G4	3.0	100	alternative	calibrated	20000	0.9972	0.99695	0.00024999999999997247	0.0	0.0005	6	1	0.99965	-1.3747074778139825	-1.3761021182622932	-1.3733128373656718	-1.3797822277669893	-1.4987942094503086	-1.2433350458303714	0.1950016034231635	0.19360696297485286	0.19639624387147414	0.1899268534701566
+I+G4	3.0	500	null_heldout	nominal	10000	0.0485	0.9891	-0.9406	-0.9455	-0.9358	0	9406	0.0594	-3.7950913823202614	-3.797197530940316	-3.792985233700207	-3.7933152595077555	-3.9350912072460646	-3.6587751676881775	-3.795091382320261	-3.7971975309403154	-3.7929852337002066	-3.793315259507755
+I+G4	3.0	500	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-3.0870424440256605	-3.0884145184761618	-3.0856703695751593	-3.0896568792677472	-3.2114089386609797	-2.9572598260915517	-3.0870424440256605	-3.0884145184761618	-3.0856703695751593	-3.089656879267747
+I+G4	3.0	500	null_heldout	calibrated	10000	0.0515	0.0515	0.0	-0.0014	0.0014	27	27	0.9946	-3.7950913823202614	-3.797197530940316	-3.792985233700207	-3.7933152595077555	-3.9350912072460646	-3.6587751676881775	-0.12344287407483887	-0.12554902269489351	-0.12133672545478422	-0.12166675126233306
+I+G4	3.0	500	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-3.0870424440256605	-3.0884145184761618	-3.0856703695751593	-3.0896568792677472	-3.2114089386609797	-2.9572598260915517	0.5846060642197618	0.5832339897692604	0.5859781386702632	0.5819916289776752
+I+G4	3.0	1000	null_heldout	nominal	10000	0.0454	1.0	-0.9546	-0.9588	-0.9504	0	9546	0.0454	-5.367996485413801	-5.370058120838387	-5.365934849989216	-5.3669739712885205	-5.503697866612118	-5.232727430938104	-5.367996485413801	-5.370058120838387	-5.365934849989216	-5.36697397128852
+I+G4	3.0	1000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-4.367187680954201	-4.368547875290564	-4.365827486617838	-4.369404830813095	-4.491256827128638	-4.241142317840559	-4.367187680954201	-4.368547875290564	-4.365827486617838	-4.369404830813094
+I+G4	3.0	1000	null_heldout	calibrated	10000	0.0494	0.0504	-0.0010000000000000009	-0.0026	0.0005	25	35	0.994	-5.367996485413801	-5.370058120838387	-5.365934849989216	-5.3669739712885205	-5.503697866612118	-5.232727430938104	-0.1359858739095084	-0.1380475093340939	-0.13392423848492288	-0.13496335978422724
+I+G4	3.0	1000	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-4.367187680954201	-4.368547875290564	-4.365827486617838	-4.369404830813095	-4.491256827128638	-4.241142317840559	0.8648229305500916	0.8634627362137283	0.866183124886455	0.8626057806911982
+I+G4	3.0	5000	null_heldout	nominal	10000	0.0506	1.0	-0.9494	-0.9536	-0.9450975	0	9494	0.0506	-12.006534638389208	-12.008622455829444	-12.004446820948973	-12.006097731316327	-12.14215148269997	-11.869863496754952	-12.006534638389208	-12.008622455829444	-12.004446820948973	-12.006097731316327
+I+G4	3.0	5000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-9.76677271925568	-9.768132408798616	-9.765413029712745	-9.768003134376897	-9.892248027757173	-9.639792389846093	-9.766772719255684	-9.76813240879862	-9.765413029712748	-9.7680031343769
